Time (s),Speed (m/s)
28.74,15.8386
28.76,15.8342
28.78,15.8297
28.8,15.8252
28.82,15.8207
28.84,15.8163
28.86,15.8118
28.88,15.8073
28.9,15.8029
28.92,15.7984
28.94,15.7939
28.96,15.7895
28.98,15.785
29,15.7805
29.02,15.7769
29.04,15.7734
29.06,15.7698
29.08,15.7662
29.1,15.7626
29.12,15.7591
29.14,15.7555
29.16,15.7519
29.18,15.7483
29.2,15.7447
29.22,15.7412
29.24,15.7376
29.26,15.734
29.28,15.7304
29.3,15.7269
29.32,15.7233
29.34,15.7197
29.36,15.7161
29.38,15.7126
29.4,15.709
29.42,15.7054
29.44,15.7018
29.46,15.6983
29.48,15.6947
29.5,15.6911
29.52,15.6875
29.54,15.684
29.56,15.6804
29.58,15.6768
29.6,15.6732
29.62,15.6696
29.64,15.6661
29.66,15.6625
29.68,15.6589
29.7,15.6553
29.72,15.6518
29.74,15.6482
29.76,15.6446
29.78,15.641
29.8,15.6375
29.82,15.6339
29.84,15.6303
29.86,15.6267
29.88,15.6232
29.9,15.6196
29.92,15.616
29.94,15.6124
29.96,15.6088
29.98,15.6053
30,15.6017
30.02,15.5981
30.04,15.5945
30.06,15.591
30.08,15.5874
30.1,15.5838
30.12,15.5802
30.14,15.5767
30.16,15.5731
30.18,15.5695
30.2,15.5659
30.22,15.5624
30.24,15.5588
30.26,15.5552
30.28,15.5516
30.3,15.5481
30.32,15.5445
30.34,15.5409
30.36,15.5373
30.38,15.5337
30.4,15.5302
30.42,15.5266
30.44,15.523
30.46,15.5194
30.48,15.5159
30.5,15.5123
30.52,15.5087
30.54,15.5051
30.56,15.5016
30.58,15.498
30.6,15.4944
30.62,15.4908
30.64,15.4873
30.66,15.4837
30.68,15.4801
30.7,15.4765
30.72,15.4729
30.74,15.4694
30.76,15.4658
30.78,15.4622
30.8,15.4586
30.82,15.4551
30.84,15.4515
30.86,15.4479
30.88,15.4443
30.9,15.4408
30.92,15.4372
30.94,15.4336
30.96,15.43
30.98,15.4265
31,15.4229
31.02,15.4238
31.04,15.4247
31.06,15.4256
31.08,15.4265
31.1,15.4274
31.12,15.4282
31.14,15.4291
31.16,15.43
31.18,15.4309
31.2,15.4318
31.22,15.4327
31.24,15.4336
31.26,15.4345
31.28,15.4354
31.3,15.4363
31.32,15.4372
31.34,15.4381
31.36,15.439
31.38,15.4399
31.4,15.4408
31.42,15.4417
31.44,15.4425
31.46,15.4434
31.48,15.4443
31.5,15.4452
31.52,15.4461
31.54,15.447
31.56,15.4479
31.58,15.4488
31.6,15.4497
31.62,15.4506
31.64,15.4515
31.66,15.4524
31.68,15.4533
31.7,15.4542
31.72,15.4551
31.74,15.456
31.76,15.4569
31.78,15.4577
31.8,15.4586
31.82,15.4595
31.84,15.4604
31.86,15.4613
31.88,15.4622
31.9,15.4631
31.92,15.464
31.94,15.4649
31.96,15.4658
31.98,15.4667
32,15.4676
32.02,15.4694
32.04,15.4712
